custid,flag,t-5,t-4,t-3,t-2,t-1,t,t+1,t+2,t+3,t+4,t+5,t+6,t+7,t+8,t+9,t+10
10068,T,164.64,275,427.68,288.75,326.2311111,369.7944444,341.8592593,367.2044033,375.4205761,383.5946731,406.8270447,396.4792206,385.5492388,369.4094232,362.0212348,354.7808101
10069,T,139.38,264.18,45.08,147.6666667,147.8711111,119.4459259,147.448642,143.9304115,140.6713032,156.5355144,161.593751,158.1204694,152.5712628,142.8809816,140.0233619,137.2228947
10070,T,457.53,203.94,394.74,355.64,310.75,367.3444444,357.717284,357.0981893,381.1948422,397.8795976,407.8810227,388.9416502,381.3704742,364.6072367,357.315092,350.1687901
10071,T,95.95,464,129.36,232.6366667,269.9355556,223.2222222,251.4296296,264.3227572,259.297668,280.631733,296.5988416,273.2257623,272.4127767,253.1260476,248.0635267,243.1022561
10072,T,141,444.72,57,215.56,232.43,172.7348148,218.927284,216.5274897,208.7970508,237.4145222,241.3270081,233.5866677,217.6563921,211.135891,206.9131732,202.7749097
10073,T,298.86,177,304.98,258.8966667,239.2288889,274.4759259,268.4240741,278.3985597,285.0961591,295.2555327,321.3890794,301.4830773,285.4672281,283.0544898,277.3934,271.845532
10074,T,191.07,281.26,88.74,192.78,189.5433333,159.1922222,187.6985185,185.215679,186.7495062,202.1820988,212.5140009,201.5559061,197.4157318,188.4146743,184.6463808,180.9534532
10075,T,34.34,57.12,414,171.36,212.6666667,275.4844444,225.9444444,251.6958025,265.4353909,268.6838957,289.8365341,273.981576,255.9494315,250.0711477,245.0697247,240.1683302
10076,T,326.34,133.62,411,291.6666667,280.6677778,343.1944444,319.718642,325.2755556,339.8396433,351.4524188,368.2846441,363.4612351,349.8964343,326.0128975,319.4926395,313.1027867
10077,T,206.04,468.27,301.99,325.3333333,358.4622222,339.9381481,357.4018519,373.0311111,379.2390672,396.0967718,410.1872885,408.7567139,389.0881065,368.5531291,361.1820665,353.9584252
10078,T,208.06,21.78,138,120.78,94,123.9,118.0133333,115.3222222,124.7311111,127.0679012,133.35893,132.1210151,127.1646548,120.5605456,118.1493347,115.786348
10079,T,208.74,391.88,160.14,257.72,268.5477778,231.9407407,265.2675309,268.4988477,268.5864472,274.0461271,299.6372611,288.8133567,268.0303528,267.6563216,262.3031952,257.0571313
10080,T,59.16,338.58,343.98,245.3266667,320.7333333,314.417037,304.512963,330.5301646,332.4488066,333.2949977,369.1340421,349.9069182,343.7578232,320.320395,313.9139871,307.6357074
10081,T,440.36,68,283.81,264.2833333,199.4844444,261.1777778,249.887037,248.5022222,260.4457064,278.095839,286.5821094,276.7123411,266.3350045,259.2715903,254.0861585,249.0044353
10082,T,32.32,147.9,439.35,206.04,266.56,312.1155556,273.0085185,296.6953086,300.6426337,310.5569822,334.4525789,326.1812529,302.9420475,290.4031172,284.5950549,278.9031538
10083,T,207.06,387,144.54,240.4266667,262.0388889,223.4337037,255.0019753,260.487572,260.0166804,277.5649794,290.4326017,282.2067368,262.1566077,257.0486945,251.9077206,246.8695662
10084,T,43.56,396,127.4,189.42,242.8488889,192.877037,220.7898765,228.2577778,221.8167353,241.5453498,258.1043286,241.7363959,232.7023435,222.2193934,217.7750055,213.4195054
10085,T,391.05,13.86,445.74,287.64,249.22,333.9555556,299.4303704,302.4269136,324.9526749,329.8717421,354.6083813,345.3205517,323.056469,312.0941198,305.8522374,299.7351927
10086,T,232.56,331,264.18,269.94,281.8044444,283.997037,297.2090123,301.8222222,307.2126749,316.9194787,333.6930956,324.8096662,319.5820183,302.8710647,296.8136434,290.8773705
10087,T,205,230.67,478.17,303.93,341,395.85,362.1666667,381.48,396.5988889,396.3230864,424.4987654,410.5524829,388.0807042,385.3056135,377.5995012,370.0475112
10088,T,26,382.79,292.04,231.99,306.8155556,292.6388889,285.8851852,307.7111111,309.2804115,323.18385,336.8621856,326.8029401,315.8892428,307.8479223,301.6909639,295.6571446
10089,T,139.38,454.72,292.04,297,357.54,330.0266667,346.4422222,361.557037,363.1841975,372.3061728,409.3998628,378.3053315,362.6849291,359.4757303,352.2862157,345.2404914
10090,T,83,238,238,182.6066667,216.3622222,221.4881481,219.825679,229.4071193,231.3775446,240.9408505,263.7164944,252.3986796,243.8482794,231.3765909,226.749059,222.2140779
10091,T,193.05,500.82,167.31,287.85,318.15,264.0233333,299.7166667,311.2959259,308.8849383,324.6170782,345.8999588,327.3212757,314.8159366,308.7578672,302.5827099,296.5310557
10092,T,450.8,171,499.8,381.14,337.9911111,422.9944444,396.2306173,407.4940329,429.5207682,452.4603567,453.7594879,455.4735559,427.4204285,416.5122023,408.1819582,400.0183191
10093,T,390.06,336.33,54.45,258.06,220.5466667,182.6151852,233.3260494,220.1688889,217.7159122,246.5922679,246.364004,242.1913296,227.3091795,220.2882426,215.8824778,211.5648282
10094,T,266.31,196.86,383.52,279.3333333,279.95,328.3388889,306.1851852,319.3511111,330.0015089,334.217005,356.5856424,357.1693339,341.382512,320.9940619,314.5741806,308.282697
10095,T,342,163.66,152.88,226.1,181.5555556,195.7277778,210.3012346,205.1039095,207.5066941,224.2831687,231.8963207,226.9516756,213.7294735,203.8794165,199.8018281,195.8057916
10096,T,209.72,497.76,396.99,367.6666667,418.8888889,415.6444444,413.8425926,439.225144,437.4137174,461.9674806,499.5231291,470.235965,454.6211269,426.899334,418.3613473,409.9941204
10097,T,329.26,367,184.24,299.54,280.06,262.4974074,296.5353086,296.0718107,300.015583,315.7645176,338.2114007,316.1538775,300.8088533,289.5366774,283.7459438,278.071025
10098,T,64.68,418.2,76,184,223.3333333,165.9444444,198.9555556,204.7002469,198.6971193,209.5982442,223.6334705,214.2660204,206.5394025,200.5721445,196.5607016,192.6294876
10099,T,353.78,199.92,311.85,284.8533333,267.2222222,302.6014815,302.7571605,305.6126749,316.088107,336.4103338,353.2668419,337.196533,319.6655735,308.4197847,302.251389,296.2063612
10100,T,272.25,43.12,129.54,145.6933333,104.4244444,133.7777778,133.9203704,131.3472428,138.9174897,146.7904893,152.9546898,142.9450643,137.6582528,133.8001402,131.1241374,128.5016547
10101,T,74.46,276.42,394.02,249.8066667,308.4988889,332.7722222,304.3962963,331.4586831,334.003155,335.1155738,365.7991739,356.0307534,334.2005309,331.8758314,325.2383147,318.7335484
10102,T,361,18.62,478.38,283,262.14,353.15,309.6377778,321.7114815,344.8079012,343.1306584,375.5778464,347.5687014,345.4103262,331.1193365,324.4969498,318.0070108
10103,T,117,149.94,148.47,139.74,143.6666667,148.2577778,150.9492593,152.4023457,157.6428395,170.2106996,171.9389529,170.3844536,161.8524889,156.2224475,153.0979985,150.0360385
10104,T,253.98,395.92,158.4,273.71,281.1166667,248.2666667,280.2607407,279.6133333,280.1904938,301.5679012,317.8845176,306.6130773,287.3246964,281.750072,276.1150705,270.5927691
10105,T,284.2,405.01,298.98,331,348.1133333,335.6655556,353.882963,364.9346914,371.2961317,386.7319067,416.544353,392.6015211,376.4173927,362.9922988,355.7324528,348.6178037
10106,T,79.56,186,37.74,99.33,107.7777778,84.97185185,103.367284,102.9911111,100.3459534,109.5003932,117.0760936,108.9197302,103.0889024,102.8396767,100.7828831,98.76722546
10107,T,322.42,329,179.34,280.3333333,258.8288889,249.7559259,275.4240741,279.3674486,284.1404664,308.9223594,319.763565,293.9948153,281.9277329,281.5107007,275.8804867,270.362877
10108,T,28.42,430,178.77,212,267.54,231.7,251.6877778,262.4,253.9161728,265.4906996,292.3131276,280.7007042,260.5464258,253.3746736,248.3071801,243.3410365
10109,T,189.14,287.1,262.64,255.34,274.8333333,273.0962963,276.4375309,285.4177778,294.0591495,309.7966712,326.2721414,312.6586399,296.9642258,283.9180491,278.2396881,272.6748943
10110,T,268.26,239,251.46,249.48,250.8166667,258.9877778,265.6281481,267.6320988,280.8065844,280.5361866,310.5465752,290.6340131,275.5375654,275.5412166,270.0303923,264.6297844
10111,T,116.62,204.02,435.6,248.5933333,295.57,340.662963,314.9234568,332.5022222,342.0758573,362.2246822,381.6062673,353.8609536,352.6063515,331.9438988,325.3050208,318.7989204
10112,T,353,293.91,375.36,333.96,332.1111111,356.1892593,358.7249383,362.4966255,371.6959808,407.2828532,411.0732023,401.254195,380.4932039,370.4190317,363.0106511,355.7504381
10113,T,288,422.38,406,367.5,412.08,414.75,418.7266667,428.52,429.8637037,465.1093827,493.8786008,457.6717147,445.9009968,426.3300412,417.8034403,409.4473715
10114,T,455.51,200.99,337.12,337.96,285.6155556,335.1496296,330.762963,331.2420576,347.1759945,369.8115684,387.948959,370.4713204,357.2837687,341.6160369,334.7837162,328.0880418
10115,T,486,96,443,338.25,299.4266667,377.3777778,354.7512346,357.7039095,380.4712209,373.1161957,407.0792836,399.2519225,367.5161679,361.1818686,353.9582312,346.8790666
10116,T,241.74,295.93,313.14,281.79,290.07,307.65,305.6333333,317.6744444,317.1092593,348.2814815,357.7680247,340.0912346,331.2760768,316.8766728,310.5391393,304.3283565
10117,T,261.66,158.76,189.09,206.6666667,184.69,204.4777778,207.7469136,205.8979424,211.8801509,221.464417,236.3060601,227.1149337,217.3083182,213.3391714,209.072388,204.8909402
10118,T,42.84,92.82,147,95.27666667,109.5422222,124.6388889,113.6851852,120.8219342,123.4944582,124.8751349,140.7129249,134.9454656,125.6343389,121.3914281,118.9635996,116.5843276
10119,T,356.53,371.68,29.29,255,217.8233333,169.8355556,224.8981481,210.6975309,209.7288066,227.1493004,242.5563603,226.4034995,216.347696,215.4038781,211.0958006,206.8738846
10120,T,162.18,352.44,469.42,331.3333333,384.89,419.6888889,395.6679012,414.3586008,421.5489026,458.9058985,477.9847523,442.6101865,426.5254844,415.6585886,407.3454169,399.1985085
10121,T,79.2,22.77,132.3,77.74666667,78.32,101.7274074,91.3991358,95.31893004,101.0550343,104.361422,107.0345603,106.553879,98.03219834,96.49061836,94.56080599,92.66958987
10122,T,202,318.24,66.64,189.4666667,191.1111111,156.8474074,187.3407407,189.05893,185.9927572,197.383155,205.6610882,204.8353605,192.3501038,184.9757537,181.2762386,177.6507138
10123,T,108,411.6,88.11,209.78,233.4577778,184.7348148,217.5314815,226.3656379,215.2667764,232.689273,251.8360433,233.8171153,225.24618,222.7810011,218.3253811,213.9588734
10124,T,467.63,121.77,165.33,248.49,176.7266667,205.4277778,222.8748148,210.4465432,226.3828807,243.6263374,244.7436031,242.3036123,224.0539201,219.5912424,215.1994175,210.8954292
10125,T,460.56,223.44,218.28,302.3266667,242.1688889,261.0859259,279.9740741,273.6469959,284.485048,296.7836488,315.0463588,310.8776101,298.093773,284.7208364,279.0264196,273.4458912
10126,T,313.1,383,427,380.8,390.5,414.1896296,415.8865432,425.2977778,436.8710288,446.8992867,475.6867596,455.7732703,435.8801514,420.4109773,412.0027577,403.7627026
10127,T,190,371.68,484,340.3866667,403.7755556,422.6814815,405.1185185,434.5376955,442.0967078,469.1657979,492.3629691,467.9129543,443.4678399,432.2056159,423.5615036,415.0902735
10128,T,16.32,54.45,108.78,61.27333333,74.8,84.87962963,77.2491358,83.10222222,85.92526749,87.86350251,92.04042067,90.40959407,86.28041525,83.44785681,81.77889967,80.14332168
10129,T,109.08,195.03,77.77,129.88,132.44,117.2118519,132.0812346,134.8280658,133.5715226,144.9964792,149.2094772,142.5512117,139.4675486,131.9333211,129.2946547,126.7087616
10130,T,466.62,24.48,132,206,118.2533333,157.4755556,171.0414815,156.0266667,167.6436214,178.1224691,185.6337266,181.7397348,172.290413,165.8383241,162.5215576,159.2711265
10131,T,453.74,172,422.18,358.02,313.6666667,371.7155556,362.362963,369.2946914,388.8427984,387.1513306,425.1527389,406.1788051,377.5552863,370.913946,363.4956671,356.2257538
10132,T,42.42,227.25,43,102.3,121.3022222,93.63851852,113.1161728,116.096214,110.829904,117.889433,125.6753102,119.4588427,116.1710986,113.8756112,111.598099,109.366137
10133,T,56.84,422.28,204,224,276.54,246.1666667,258.2222222,273.4933333,273.879177,297.4781893,300.7527755,288.9858985,284.9895494,267.6130224,262.260762,257.0155467
10134,T,222.36,108.9,433.16,254.1,264.1644444,335.6503704,297.137037,315.1022222,326.0879287,329.1735985,352.8914495,339.075014,328.6184965,317.6400305,311.2872299,305.0614853
10135,T,345.42,449.45,42,276.3333333,251.9,200.4722222,252.5962963,244.6513169,239.8508368,266.5141107,278.1629721,268.1264131,256.592345,246.5354526,241.6047436,236.7726487
10136,T,75,350.47,354,263.84,313.4911111,320.1774074,317.2219753,333.7955556,342.1192867,361.3644216,379.5231581,359.9779952,338.4762745,332.8375826,326.180831,319.6572144
10137,T,253.44,303.93,125.44,234.94,223.9955556,199.1714815,225.9185185,229.0121399,228.8944856,248.3800183,254.9009724,248.169745,230.2566817,227.7393257,223.1845392,218.7208484
10138,T,456,97.97,323,297.84,234.96,295.4755556,284.7055556,287.9753086,297.7359671,307.2292181,322.7396433,313.8191617,304.716846,296.6862758,290.7525503,284.9374993
10139,T,398.97,193,445.5,355.64,323.9444444,387.6996296,372.9891358,384.7116872,403.659369,408.3393919,438.0580979,414.3646355,395.3203653,388.5850585,380.8133573,373.1970901
10140,T,18.81,23,14.28,18.48,18.92666667,17.92777778,19.36567901,19.52131687,19.28657064,20.94390947,21.75843317,20.65946858,20.1687844,19.25753391,18.87238323,18.49493557
10141,T,281.26,435.31,163.66,297.95,300.6433333,263.3511111,298.8807407,297.0504938,303.4462551,326.6689986,341.1610242,329.1608596,305.7194223,294.1977404,288.3137855,282.5475098
10142,T,86.13,151,134.64,124.5666667,136.7988889,134.167037,136.162963,143.6557202,144.9410288,154.2066301,158.5323152,156.9118122,150.4437171,140.0269443,137.2264055,134.4818773
10143,T,152,73.26,50.49,94.18,70.99555556,74.80296296,84.42432099,79.63353909,81.84120713,86.03397348,92.51395976,87.5546878,85.43893851,81.46888584,79.83950812,78.24271796
10144,T,56,416.16,311,260.9166667,332.2933333,307.3214815,314.7517284,330.5911111,329.4990398,338.9276635,374.307825,354.5277417,333.8304181,322.0901561,315.648353,309.3353859
10145,T,435,229.5,433.29,366.63,335.61,395.85,384.8433333,390.8255556,405.2322222,433.3185185,448.3544033,416.970439,408.780471,390.9282305,383.1096658,375.4474725
10146,T,48,323,285,214.2933333,272.8,272.7277778,263.887037,285.8042798,288.6865295,298.2292638,321.1830575,301.8087609,288.9857576,278.9992074,273.4192233,267.9508388
10147,T,345,153,357.7,287.6666667,263.1844444,319.357037,305.031358,307.9442387,326.5760082,327.6157796,363.3068511,346.9974826,328.5156614,320.0860037,313.6842836,307.410598
10148,T,384.81,232.56,119.34,239.58,197.6233333,192.2844444,219.9696296,211.7066667,215.7584362,235.8769822,244.7199817,237.3578418,224.1350378,215.639284,211.3264983,207.0999683
10149,T,493.89,395.01,107,325.0333333,273.6377778,248.8681481,297.5648148,291.3619342,294.931797,312.0454275,320.7921353,312.7810105,298.2217858,291.8762949,286.038769,280.3179936
10150,T,93,377.74,494.9,319,394.3333333,421.1666667,390.0555556,423.9830864,433.6520165,428.4545405,463.4853224,446.9772961,427.0213367,420.1103182,411.7081118,403.4739496
10151,T,266.22,424.71,70.56,256.54,254.1833333,202.1833333,249.0325926,245.9632099,243.0215638,265.6489163,267.1056241,263.6634446,256.5573871,242.4331929,237.5845291,232.8328385
10152,T,453.42,405.96,129.36,329.3333333,280.7155556,261.7222222,302.762963,299.4046091,295.1313306,322.3993781,343.0734644,329.2607834,308.6620156,299.5442963,293.5534104,287.6823422
10153,T,125.73,35,272,147.56,153.5666667,194.7462963,171.1180247,178.7120165,188.0347188,192.0352766,209.3602317,201.6395539,186.9503058,180.7257102,177.111196,173.5689721
